Model,Avg Response Time (s),Min Response Time (s),Max Response Time (s),Std Response Time (s),Avg Tokens Sent,Avg Tokens Received,Avg Total Tokens,Tokens per Minute,Invocations per Minute,Success Rate (%)
amazon.titan-embed-text-v2:0,0.2741696039835612,0.2537522315979004,0.340120792388916,0.023000520814526245,6023.1,25.0,6048.1,1331584.7728745146,220.16961635698152,100.0
cohere.rerank-v3-5:0,0.3199785900115966,0.2895216941833496,0.6776368618011475,0.060613299996221226,6023.1,25.0,6048.1,1159815.5034311917,191.7671169705272,100.0
eu.amazon.nova-lite-v1:0,2.103686745961507,0.2990987300872803,6.734799146652222,1.9561769762543073,6023.1,0.0,6023.1,401869.1074988422,66.72734579006206,100.0
eu.anthropic.claude-3-7-sonnet-20250219-v1:0,11.623477999369303,2.596940279006958,30.208800315856934,7.996372532851331,6023.1,282.93333333333334,6306.033333333334,54727.50845750083,8.817166287724756,93.33333333333333
